sn,symbol,ltp,point change,open,high,low,volume,close

255,SIFC,370.00,-4.00,-1.07,374.10,388.00,369.40,"32,756.00",374.00
256,SIGS2,8.15,-0.14,-1.69,8.16,8.20,8.15,"127,100.00",8.29
257,SIKLES,420.00,-20.00,-4.55,431.20,435.00,419.00,"16,555.00",440.00
258,SINDU,287.00,-13.00,-4.33,302.00,302.00,285.00,"23,228.00",300.00
259,SJCL,317.00,23.00,7.82,293.90,317.00,288.00,"29,923.00",294.00
260,SJLIC,579.80,-46.60,-7.44,613.90,637.00,576.00,"142,338.00",626.40
261,SKBBL,994.00,-6.00,-0.60,"1,020.00","1,025.00",994.00,"32,758.00","1,000.00"
262,SLBBL,654.60,-10.40,-1.56,652.00,678.00,650.00,"7,707.00",665.00
263,SLBSL,805.00,-3.00,-0.37,792.20,809.00,788.90,"1,206.00",808.00
264,SLCF,7.72,-0.14,-1.78,7.73,7.76,7.60,"10,750.00",7.86
265,SMATA,632.10,-33.90,-5.09,678.00,678.00,631.00,"1,920.00",666.00
266,SMB,"1,048.00",-26.00,-2.42,"1,074.00","1,117.00","1,034.10",951.00,"1,074.00"
267,SMFBS,885.30,-14.70,-1.63,900.00,900.00,832.50,"2,341.00",900.00
268,SMH,603.00,33.00,5.79,570.00,610.10,566.00,"27,825.00",570.00
269,SMHL,449.50,25.50,6.01,432.00,466.00,425.00,"104,833.00",424.00
270,SMJC,323.00,6.40,2.02,311.00,336.00,311.00,"173,251.00",316.60
271,SNLI,575.00,-15.00,-2.54,590.00,590.00,575.00,"119,851.00",590.00
272,SONA,461.00,-15.70,-3.29,486.20,493.10,451.40,"539,018.00",476.70
273,SPC,425.00,20.00,4.94,397.00,433.80,397.00,"21,407.00",405.00
274,SPDL,222.10,5.10,2.35,221.00,234.00,213.00,"184,067.00",217.00
275,SPHL,418.70,-13.30,-3.08,424.00,435.00,416.00,"8,985.00",432.00
276,SPIL,768.00,-4.00,-0.52,775.00,785.00,745.00,"20,359.00",772.00
277,SPL,733.00,-2.30,-0.31,740.00,750.00,715.00,"4,965.00",735.30
278,SRLI,479.00,-21.00,-4.20,490.00,505.00,479.00,"68,516.00",500.00
279,SSHL,170.60,-4.40,-2.51,176.00,181.00,170.60,"128,725.00",175.00
280,STC,"5,700.00",21.00,0.37,"5,792.50","5,900.00","5,635.00","6,921.00","5,679.00"
281,SWBBL,755.00,-5.00,-0.66,770.00,770.00,750.20,"11,814.00",760.00
282,SWMF,642.60,-41.40,-6.05,671.00,678.00,630.00,"3,792.00",684.00
283,TAMOR,305.00,-14.20,-4.45,313.10,322.00,305.00,"91,260.00",319.20
284,TPC,385.00,-10.00,-2.53,402.80,402.90,376.00,"7,262.00",395.00
285,TRH,895.00,-18.00,-1.97,913.00,913.00,876.00,"23,592.00",913.00
286,TSHL,504.00,-22.90,-4.35,537.40,537.40,490.10,"25,724.00",526.90
287,TVCL,349.00,6.30,1.84,342.20,351.90,334.00,"28,146.00",342.70
288,UAIL,608.00,-12.00,-1.94,615.00,621.00,601.30,"29,995.00",620.00
289,UHEWA,317.00,-12.00,-3.65,328.00,328.00,317.00,"15,760.00",329.00
290,ULBSL,"1,197.00",-66.70,-5.28,"1,255.00","1,265.00","1,166.50","1,603.00","1,263.70"
291,ULHC,256.00,-13.80,-5.11,275.10,275.10,256.00,"37,593.00",269.80
292,UMHL,224.00,0.40,0.18,220.30,230.00,218.00,"96,253.00",223.60
293,UMRH,380.00,10.30,2.79,376.00,397.00,362.70,"272,017.00",369.70
294,UNHPL,215.00,-15.00,-6.52,230.00,230.00,215.00,"90,802.00",230.00
295,UNL,"44,033.00","2,530.00",6.10,"42,200.00","44,033.00","42,200.00",50.00,"41,503.00"
296,UNLB,"1,139.90",-33.20,-2.83,"1,150.00","1,150.00","1,105.00","1,699.00","1,173.10"
297,UPCL,240.30,8.30,3.58,236.60,248.80,224.10,"559,929.00",232.00
298,UPPER,217.90,-3.60,-1.63,225.90,225.90,216.10,"66,689.00",221.50
299,USHEC,287.60,-3.70,-1.27,286.00,297.00,276.80,"37,223.00",291.30
300,USHL,386.00,2.20,0.57,383.00,391.00,378.60,"11,874.00",383.80
301,USLB,792.00,-62.00,-7.26,840.00,840.00,791.00,"3,505.00",854.00
302,VLBS,643.00,-17.00,-2.58,673.00,673.00,642.00,"5,493.00",660.00
303,VLUCL,401.80,36.50,9.99,365.30,401.80,365.30,"7,730.00",365.30
304,WNLB,770.00,-29.00,-3.63,784.00,790.00,769.10,655.00,799.00
